n,error
382,-1.13437
383,-0.000858275
384,-0.000851225
385,-1.12552
386,-0.00083729
387,-0.000830403
388,-1.1168
389,-0.000816789
390,-1.11107
391,-0.000803383
392,-0.000796757
393,-1.10257
394,-0.000783655
395,-0.000777179
396,-1.0942
397,-0.000764373
398,-0.000758042
399,-1.08596
400,-0.000745523
401,-1.08054
402,-0.00073319
403,-1.07517
404,-1.0725
405,-0.000715033
406,-1.06721
407,-0.00070315
408,-1.06197
409,-0.000691441
410,-0.000685651
411,-0.000679903
412,-0.000674196
413,-1.04909
414,-0.000662908
415,-0.000657324
416,-0.000651781
417,-1.03902
418,-1.03653
419,-0.00063539
420,-1.03158
421,-1.02913
422,-1.02669
423,-1.02425
424,-0.000608839
425,-1.01943
426,-0.00059848
427,-1.01464
428,-0.000588266
429,-0.000583212
430,-0.000578194
431,-0.00057321
432,-0.000568261
433,-0.000563346
434,-0.998254
435,-0.000553618
436,-0.000548804
437,-0.000544024
438,-0.989123
439,-0.00053456
440,-0.000529876
441,-0.000525224
442,-0.980158
443,-0.000516015
444,-0.975736
445,-0.97354
446,-0.000502432
447,-0.000497966
448,-0.967011
449,-0.964854
450,-0.962707
451,-0.960569
452,-0.95844
453,-0.000471783
454,-0.954212
455,-0.952111
456,-0.000459078
457,-0.947938
458,-0.000450746
459,-0.943801
460,-0.941747
461,-0.939701
462,-0.937663
463,-0.000430386
464,-0.933616
465,-0.931605
466,-0.000418484
467,-0.000414567
468,-0.925624
469,-0.923647
470,-0.921679
471,-0.00039915
472,-0.000395356
473,-0.915825
474,-0.000387842
475,-0.00038412
476,-0.910044
477,-0.000376746
478,-0.90623
479,-0.904336
480,-0.902449
481,-0.000362274
482,-0.898699
483,-0.896835
484,-0.894979
485,-0.893131
486,-0.891291
487,-0.000341231
488,-0.0003378
489,-0.000334389
490,-0.884004
491,-0.000327629
492,-0.00032428
493,-0.878617
494,-0.000317644
495,-0.875061
496,-0.000311087
497,-0.000307839
498,-0.869782
499,-0.868037
500,-0.866298
501,-0.000295038
502,-0.862841
503,-0.000288752
504,-0.859412
505,-0.00028254
506,-0.000279462
507,-0.854319
508,-0.852635
509,-0.000270336
510,-0.849287
511,-0.000264341
512,-0.00026137
513,-0.844313
514,-0.842668
515,-0.841029
516,-0.000249658
517,-0.000246772
518,-0.000243903
519,-0.00024105
520,-0.83293
521,-0.000235395
522,-0.000232591
523,-0.828145
524,-0.000227032
525,-0.824986
526,-0.000221537
527,-0.82185
